engine_number,chasis_number,registration_number,nickname,is_encrypted,vehicle_id
,V_16311890_GPS_INSIGHT,V_16311890_GPS_INSIGHT,V_16311890_GPS_INSIGHT,0,43255
,V_16311892_GPS_INSIGHT,V_16311892_GPS_INSIGHT,V_16311892_GPS_INSIGHT,0,43256
,V_16311894_GPS_INSIGHT,V_16311894_GPS_INSIGHT,V_16311894_GPS_INSIGHT,0,43257
,V_16311896_GPS_INSIGHT,V_16311896_GPS_INSIGHT,V_16311896_GPS_INSIGHT,0,43258
,V_16311901_GPS_INSIGHT,V_16311901_GPS_INSIGHT,V_16311901_GPS_INSIGHT,0,43259
,V_16311903_GPS_INSIGHT,V_16311903_GPS_INSIGHT,V_16311903_GPS_INSIGHT,0,43260
,V_16311905_GPS_INSIGHT,V_16311905_GPS_INSIGHT,V_16311905_GPS_INSIGHT,0,43261
,V_16311908_GPS_INSIGHT,V_16311908_GPS_INSIGHT,V_16311908_GPS_INSIGHT,0,43262
,V_16311910_GPS_INSIGHT,V_16311910_GPS_INSIGHT,V_16311910_GPS_INSIGHT,0,43263
,V_16311917_GPS_INSIGHT,V_16311917_GPS_INSIGHT,V_16311917_GPS_INSIGHT,0,43264
,V_16311919_GPS_INSIGHT,V_16311919_GPS_INSIGHT,V_16311919_GPS_INSIGHT,0,43265
,V_16311924_GPS_INSIGHT,V_16311924_GPS_INSIGHT,V_16311924_GPS_INSIGHT,0,43266
,V_16311926_GPS_INSIGHT,V_16311926_GPS_INSIGHT,V_16311926_GPS_INSIGHT,0,43267
,V_16311928_GPS_INSIGHT,V_16311928_GPS_INSIGHT,V_16311928_GPS_INSIGHT,0,43268
,V_16311931_GPS_INSIGHT,V_16311931_GPS_INSIGHT,V_16311931_GPS_INSIGHT,0,43269
,V_16311932_GPS_INSIGHT,V_16311932_GPS_INSIGHT,V_16311932_GPS_INSIGHT,0,43270
,V_16311934_GPS_INSIGHT,V_16311934_GPS_INSIGHT,V_16311934_GPS_INSIGHT,0,43271
,V_16311935_GPS_INSIGHT,V_16311935_GPS_INSIGHT,V_16311935_GPS_INSIGHT,0,43272
,V_16311937_GPS_INSIGHT,V_16311937_GPS_INSIGHT,V_16311937_GPS_INSIGHT,0,43273
,V_16311938_GPS_INSIGHT,V_16311938_GPS_INSIGHT,V_16311938_GPS_INSIGHT,0,43274
,V_16311939_GPS_INSIGHT,V_16311939_GPS_INSIGHT,V_16311939_GPS_INSIGHT,0,43275
,V_16311940_GPS_INSIGHT,V_16311940_GPS_INSIGHT,V_16311940_GPS_INSIGHT,0,43276
,V_16311944_GPS_INSIGHT,V_16311944_GPS_INSIGHT,V_16311944_GPS_INSIGHT,0,43277
,V_16311946_GPS_INSIGHT,V_16311946_GPS_INSIGHT,V_16311946_GPS_INSIGHT,0,43278
,V_16311948_GPS_INSIGHT,V_16311948_GPS_INSIGHT,V_16311948_GPS_INSIGHT,0,43279
,V_16311949_GPS_INSIGHT,V_16311949_GPS_INSIGHT,V_16311949_GPS_INSIGHT,0,43280
,V_16311955_GPS_INSIGHT,V_16311955_GPS_INSIGHT,V_16311955_GPS_INSIGHT,0,43281
,V_16311958_GPS_INSIGHT,V_16311958_GPS_INSIGHT,V_16311958_GPS_INSIGHT,0,43282
,V_16311959_GPS_INSIGHT,V_16311959_GPS_INSIGHT,V_16311959_GPS_INSIGHT,0,43283
,V_16311961_GPS_INSIGHT,V_16311961_GPS_INSIGHT,V_16311961_GPS_INSIGHT,0,43284
,V_16311962_GPS_INSIGHT,V_16311962_GPS_INSIGHT,V_16311962_GPS_INSIGHT,0,43285
,V_16311963_GPS_INSIGHT,V_16311963_GPS_INSIGHT,V_16311963_GPS_INSIGHT,0,43286
,V_16311964_GPS_INSIGHT,V_16311964_GPS_INSIGHT,V_16311964_GPS_INSIGHT,0,43287
,V_16311965_GPS_INSIGHT,V_16311965_GPS_INSIGHT,V_16311965_GPS_INSIGHT,0,43288
,V_16311966_GPS_INSIGHT,V_16311966_GPS_INSIGHT,V_16311966_GPS_INSIGHT,0,43289
,V_16311968_GPS_INSIGHT,V_16311968_GPS_INSIGHT,V_16311968_GPS_INSIGHT,0,43290
,V_16311971_GPS_INSIGHT,V_16311971_GPS_INSIGHT,V_16311971_GPS_INSIGHT,0,43291
,V_16311972_GPS_INSIGHT,V_16311972_GPS_INSIGHT,V_16311972_GPS_INSIGHT,0,43292
,V_16311979_GPS_INSIGHT,V_16311979_GPS_INSIGHT,V_16311979_GPS_INSIGHT,0,43293
,V_16311988_GPS_INSIGHT,V_16311988_GPS_INSIGHT,V_16311988_GPS_INSIGHT,0,43294
,V_16311989_GPS_INSIGHT,V_16311989_GPS_INSIGHT,V_16311989_GPS_INSIGHT,0,43295
,V_16311999_GPS_INSIGHT,V_16311999_GPS_INSIGHT,V_16311999_GPS_INSIGHT,0,43296
,V_16312018_GPS_INSIGHT,V_16312018_GPS_INSIGHT,V_16312018_GPS_INSIGHT,0,43297
,V_16312029_GPS_INSIGHT,V_16312029_GPS_INSIGHT,V_16312029_GPS_INSIGHT,0,43298
,V_16312030_GPS_INSIGHT,V_16312030_GPS_INSIGHT,V_16312030_GPS_INSIGHT,0,43299
,V_16312031_GPS_INSIGHT,V_16312031_GPS_INSIGHT,V_16312031_GPS_INSIGHT,0,43300
,V_16312038_GPS_INSIGHT,V_16312038_GPS_INSIGHT,V_16312038_GPS_INSIGHT,0,43301
,V_16312041_GPS_INSIGHT,V_16312041_GPS_INSIGHT,V_16312041_GPS_INSIGHT,0,43302
,V_16312047_GPS_INSIGHT,V_16312047_GPS_INSIGHT,V_16312047_GPS_INSIGHT,0,43303
,V_16312048_GPS_INSIGHT,V_16312048_GPS_INSIGHT,V_16312048_GPS_INSIGHT,0,43304
,V_16312049_GPS_INSIGHT,V_16312049_GPS_INSIGHT,V_16312049_GPS_INSIGHT,0,43305
,V_16312057_GPS_INSIGHT,V_16312057_GPS_INSIGHT,V_16312057_GPS_INSIGHT,0,43306
,V_16312058_GPS_INSIGHT,V_16312058_GPS_INSIGHT,V_16312058_GPS_INSIGHT,0,43307
,V_16312062_GPS_INSIGHT,V_16312062_GPS_INSIGHT,V_16312062_GPS_INSIGHT,0,43308
,V_16312064_GPS_INSIGHT,V_16312064_GPS_INSIGHT,V_16312064_GPS_INSIGHT,0,43309
,V_16312065_GPS_INSIGHT,V_16312065_GPS_INSIGHT,V_16312065_GPS_INSIGHT,0,43310
,V_16312068_GPS_INSIGHT,V_16312068_GPS_INSIGHT,V_16312068_GPS_INSIGHT,0,43311
,V_16312070_GPS_INSIGHT,V_16312070_GPS_INSIGHT,V_16312070_GPS_INSIGHT,0,43312
,V_16312071_GPS_INSIGHT,V_16312071_GPS_INSIGHT,V_16312071_GPS_INSIGHT,0,43313
,V_16312081_GPS_INSIGHT,V_16312081_GPS_INSIGHT,V_16312081_GPS_INSIGHT,0,43314
,V_16312082_GPS_INSIGHT,V_16312082_GPS_INSIGHT,V_16312082_GPS_INSIGHT,0,43315
,V_16312084_GPS_INSIGHT,V_16312084_GPS_INSIGHT,V_16312084_GPS_INSIGHT,0,43316
,V_16312087_GPS_INSIGHT,V_16312087_GPS_INSIGHT,V_16312087_GPS_INSIGHT,0,43317
,V_16312091_GPS_INSIGHT,V_16312091_GPS_INSIGHT,V_16312091_GPS_INSIGHT,0,43318
,V_16312093_GPS_INSIGHT,V_16312093_GPS_INSIGHT,V_16312093_GPS_INSIGHT,0,43319
,V_16312094_GPS_INSIGHT,V_16312094_GPS_INSIGHT,V_16312094_GPS_INSIGHT,0,43320
,V_16312095_GPS_INSIGHT,V_16312095_GPS_INSIGHT,V_16312095_GPS_INSIGHT,0,43321
,V_16312096_GPS_INSIGHT,V_16312096_GPS_INSIGHT,V_16312096_GPS_INSIGHT,0,43322
,V_16312097_GPS_INSIGHT,V_16312097_GPS_INSIGHT,V_16312097_GPS_INSIGHT,0,43323
,V_16312098_GPS_INSIGHT,V_16312098_GPS_INSIGHT,V_16312098_GPS_INSIGHT,0,43324
,V_16312099_GPS_INSIGHT,V_16312099_GPS_INSIGHT,V_16312099_GPS_INSIGHT,0,43325
,V_16312114_GPS_INSIGHT,V_16312114_GPS_INSIGHT,V_16312114_GPS_INSIGHT,0,43326
,V_16312123_GPS_INSIGHT,V_16312123_GPS_INSIGHT,V_16312123_GPS_INSIGHT,0,43327
,V_16312126_GPS_INSIGHT,V_16312126_GPS_INSIGHT,V_16312126_GPS_INSIGHT,0,43328
,V_16312138_GPS_INSIGHT,V_16312138_GPS_INSIGHT,V_16312138_GPS_INSIGHT,0,43329
,V_16312144_GPS_INSIGHT,V_16312144_GPS_INSIGHT,V_16312144_GPS_INSIGHT,0,43330
,V_16312147_GPS_INSIGHT,V_16312147_GPS_INSIGHT,V_16312147_GPS_INSIGHT,0,43331
,V_16312150_GPS_INSIGHT,V_16312150_GPS_INSIGHT,V_16312150_GPS_INSIGHT,0,43332
,V_16312152_GPS_INSIGHT,V_16312152_GPS_INSIGHT,V_16312152_GPS_INSIGHT,0,43333
,V_16312154_GPS_INSIGHT,V_16312154_GPS_INSIGHT,V_16312154_GPS_INSIGHT,0,43334
,V_16312155_GPS_INSIGHT,V_16312155_GPS_INSIGHT,V_16312155_GPS_INSIGHT,0,43335
,V_16312157_GPS_INSIGHT,V_16312157_GPS_INSIGHT,V_16312157_GPS_INSIGHT,0,43336
,V_16312158_GPS_INSIGHT,V_16312158_GPS_INSIGHT,V_16312158_GPS_INSIGHT,0,43337
,V_16312160_GPS_INSIGHT,V_16312160_GPS_INSIGHT,V_16312160_GPS_INSIGHT,0,43338
,V_16312161_GPS_INSIGHT,V_16312161_GPS_INSIGHT,V_16312161_GPS_INSIGHT,0,43339
,V_16312163_GPS_INSIGHT,V_16312163_GPS_INSIGHT,V_16312163_GPS_INSIGHT,0,43340
,V_16312165_GPS_INSIGHT,V_16312165_GPS_INSIGHT,V_16312165_GPS_INSIGHT,0,43341
,V_16312166_GPS_INSIGHT,V_16312166_GPS_INSIGHT,V_16312166_GPS_INSIGHT,0,43342
,V_16312168_GPS_INSIGHT,V_16312168_GPS_INSIGHT,V_16312168_GPS_INSIGHT,0,43343
,V_16312169_GPS_INSIGHT,V_16312169_GPS_INSIGHT,V_16312169_GPS_INSIGHT,0,43344
,V_16312170_GPS_INSIGHT,V_16312170_GPS_INSIGHT,V_16312170_GPS_INSIGHT,0,43345
,V_16312172_GPS_INSIGHT,V_16312172_GPS_INSIGHT,V_16312172_GPS_INSIGHT,0,43346
,V_16312173_GPS_INSIGHT,V_16312173_GPS_INSIGHT,V_16312173_GPS_INSIGHT,0,43347
,V_16312174_GPS_INSIGHT,V_16312174_GPS_INSIGHT,V_16312174_GPS_INSIGHT,0,43348
,V_16312175_GPS_INSIGHT,V_16312175_GPS_INSIGHT,V_16312175_GPS_INSIGHT,0,43349
,V_16312176_GPS_INSIGHT,V_16312176_GPS_INSIGHT,V_16312176_GPS_INSIGHT,0,43350
,V_16312177_GPS_INSIGHT,V_16312177_GPS_INSIGHT,V_16312177_GPS_INSIGHT,0,43351
,V_16312178_GPS_INSIGHT,V_16312178_GPS_INSIGHT,V_16312178_GPS_INSIGHT,0,43352
,V_16312179_GPS_INSIGHT,V_16312179_GPS_INSIGHT,V_16312179_GPS_INSIGHT,0,43353
,V_16312180_GPS_INSIGHT,V_16312180_GPS_INSIGHT,V_16312180_GPS_INSIGHT,0,43354
,V_16312187_GPS_INSIGHT,V_16312187_GPS_INSIGHT,V_16312187_GPS_INSIGHT,0,43355
,V_16312188_GPS_INSIGHT,V_16312188_GPS_INSIGHT,V_16312188_GPS_INSIGHT,0,43356
,V_16312189_GPS_INSIGHT,V_16312189_GPS_INSIGHT,V_16312189_GPS_INSIGHT,0,43357
,V_16312190_GPS_INSIGHT,V_16312190_GPS_INSIGHT,V_16312190_GPS_INSIGHT,0,43358
,V_16312191_GPS_INSIGHT,V_16312191_GPS_INSIGHT,V_16312191_GPS_INSIGHT,0,43359
,V_16312192_GPS_INSIGHT,V_16312192_GPS_INSIGHT,V_16312192_GPS_INSIGHT,0,43360
,V_16312193_GPS_INSIGHT,V_16312193_GPS_INSIGHT,V_16312193_GPS_INSIGHT,0,43361
,V_16312194_GPS_INSIGHT,V_16312194_GPS_INSIGHT,V_16312194_GPS_INSIGHT,0,43362
,V_16312197_GPS_INSIGHT,V_16312197_GPS_INSIGHT,V_16312197_GPS_INSIGHT,0,43363
,V_16312199_GPS_INSIGHT,V_16312199_GPS_INSIGHT,V_16312199_GPS_INSIGHT,0,43364
,V_16312235_GPS_INSIGHT,V_16312235_GPS_INSIGHT,V_16312235_GPS_INSIGHT,0,43365
,V_16312237_GPS_INSIGHT,V_16312237_GPS_INSIGHT,V_16312237_GPS_INSIGHT,0,43366
,V_16312238_GPS_INSIGHT,V_16312238_GPS_INSIGHT,V_16312238_GPS_INSIGHT,0,43367
,V_16312240_GPS_INSIGHT,V_16312240_GPS_INSIGHT,V_16312240_GPS_INSIGHT,0,43368
,V_16312241_GPS_INSIGHT,V_16312241_GPS_INSIGHT,V_16312241_GPS_INSIGHT,0,43369
,V_16312260_GPS_INSIGHT,V_16312260_GPS_INSIGHT,V_16312260_GPS_INSIGHT,0,43370
,V_16312262_GPS_INSIGHT,V_16312262_GPS_INSIGHT,V_16312262_GPS_INSIGHT,0,43371
,V_16312274_GPS_INSIGHT,V_16312274_GPS_INSIGHT,V_16312274_GPS_INSIGHT,0,43372
,V_16312306_GPS_INSIGHT,V_16312306_GPS_INSIGHT,V_16312306_GPS_INSIGHT,0,43373
,V_16312307_GPS_INSIGHT,V_16312307_GPS_INSIGHT,V_16312307_GPS_INSIGHT,0,43374
,V_16312308_GPS_INSIGHT,V_16312308_GPS_INSIGHT,V_16312308_GPS_INSIGHT,0,43375
,V_16312309_GPS_INSIGHT,V_16312309_GPS_INSIGHT,V_16312309_GPS_INSIGHT,0,43376
,V_16312310_GPS_INSIGHT,V_16312310_GPS_INSIGHT,V_16312310_GPS_INSIGHT,0,43377
,V_16312311_GPS_INSIGHT,V_16312311_GPS_INSIGHT,V_16312311_GPS_INSIGHT,0,43378
,V_16312312_GPS_INSIGHT,V_16312312_GPS_INSIGHT,V_16312312_GPS_INSIGHT,0,43379
,V_16312313_GPS_INSIGHT,V_16312313_GPS_INSIGHT,V_16312313_GPS_INSIGHT,0,43380
,V_16312314_GPS_INSIGHT,V_16312314_GPS_INSIGHT,V_16312314_GPS_INSIGHT,0,43381
,V_16312315_GPS_INSIGHT,V_16312315_GPS_INSIGHT,V_16312315_GPS_INSIGHT,0,43382
,V_16312320_GPS_INSIGHT,V_16312320_GPS_INSIGHT,V_16312320_GPS_INSIGHT,0,43383
,V_16312321_GPS_INSIGHT,V_16312321_GPS_INSIGHT,V_16312321_GPS_INSIGHT,0,43384
,V_16312322_GPS_INSIGHT,V_16312322_GPS_INSIGHT,V_16312322_GPS_INSIGHT,0,43385
,V_16312323_GPS_INSIGHT,V_16312323_GPS_INSIGHT,V_16312323_GPS_INSIGHT,0,43386
,V_16312324_GPS_INSIGHT,V_16312324_GPS_INSIGHT,V_16312324_GPS_INSIGHT,0,43387
,V_16312326_GPS_INSIGHT,V_16312326_GPS_INSIGHT,V_16312326_GPS_INSIGHT,0,43388
,V_16312327_GPS_INSIGHT,V_16312327_GPS_INSIGHT,V_16312327_GPS_INSIGHT,0,43389
,V_16312328_GPS_INSIGHT,V_16312328_GPS_INSIGHT,V_16312328_GPS_INSIGHT,0,43390
,V_16312329_GPS_INSIGHT,V_16312329_GPS_INSIGHT,V_16312329_GPS_INSIGHT,0,43391
,V_16312331_GPS_INSIGHT,V_16312331_GPS_INSIGHT,V_16312331_GPS_INSIGHT,0,43392
,V_16312332_GPS_INSIGHT,V_16312332_GPS_INSIGHT,V_16312332_GPS_INSIGHT,0,43393
,V_16312333_GPS_INSIGHT,V_16312333_GPS_INSIGHT,V_16312333_GPS_INSIGHT,0,43394
,V_16312334_GPS_INSIGHT,V_16312334_GPS_INSIGHT,V_16312334_GPS_INSIGHT,0,43395
,V_16312335_GPS_INSIGHT,V_16312335_GPS_INSIGHT,V_16312335_GPS_INSIGHT,0,43396
,V_16312336_GPS_INSIGHT,V_16312336_GPS_INSIGHT,V_16312336_GPS_INSIGHT,0,43397
,V_16312337_GPS_INSIGHT,V_16312337_GPS_INSIGHT,V_16312337_GPS_INSIGHT,0,43398
,V_16312338_GPS_INSIGHT,V_16312338_GPS_INSIGHT,V_16312338_GPS_INSIGHT,0,43399
,V_16312339_GPS_INSIGHT,V_16312339_GPS_INSIGHT,V_16312339_GPS_INSIGHT,0,43400
,V_16312340_GPS_INSIGHT,V_16312340_GPS_INSIGHT,V_16312340_GPS_INSIGHT,0,43401
,V_16312341_GPS_INSIGHT,V_16312341_GPS_INSIGHT,V_16312341_GPS_INSIGHT,0,43402
,V_16312343_GPS_INSIGHT,V_16312343_GPS_INSIGHT,V_16312343_GPS_INSIGHT,0,43403
,V_16312344_GPS_INSIGHT,V_16312344_GPS_INSIGHT,V_16312344_GPS_INSIGHT,0,43404
,V_16312345_GPS_INSIGHT,V_16312345_GPS_INSIGHT,V_16312345_GPS_INSIGHT,0,43405
,V_16312346_GPS_INSIGHT,V_16312346_GPS_INSIGHT,V_16312346_GPS_INSIGHT,0,43406
,V_16312347_GPS_INSIGHT,V_16312347_GPS_INSIGHT,V_16312347_GPS_INSIGHT,0,43407
,V_16312348_GPS_INSIGHT,V_16312348_GPS_INSIGHT,V_16312348_GPS_INSIGHT,0,43408
,V_16312350_GPS_INSIGHT,V_16312350_GPS_INSIGHT,V_16312350_GPS_INSIGHT,0,43409
,V_16312352_GPS_INSIGHT,V_16312352_GPS_INSIGHT,V_16312352_GPS_INSIGHT,0,43410
,V_16312353_GPS_INSIGHT,V_16312353_GPS_INSIGHT,V_16312353_GPS_INSIGHT,0,43411
,V_16312354_GPS_INSIGHT,V_16312354_GPS_INSIGHT,V_16312354_GPS_INSIGHT,0,43412
,V_16312356_GPS_INSIGHT,V_16312356_GPS_INSIGHT,V_16312356_GPS_INSIGHT,0,43413
,V_16312358_GPS_INSIGHT,V_16312358_GPS_INSIGHT,V_16312358_GPS_INSIGHT,0,43414
,V_16312359_GPS_INSIGHT,V_16312359_GPS_INSIGHT,V_16312359_GPS_INSIGHT,0,43415
,V_16312360_GPS_INSIGHT,V_16312360_GPS_INSIGHT,V_16312360_GPS_INSIGHT,0,43416
,V_16312361_GPS_INSIGHT,V_16312361_GPS_INSIGHT,V_16312361_GPS_INSIGHT,0,43417
,V_16312362_GPS_INSIGHT,V_16312362_GPS_INSIGHT,V_16312362_GPS_INSIGHT,0,43418
,V_16312363_GPS_INSIGHT,V_16312363_GPS_INSIGHT,V_16312363_GPS_INSIGHT,0,43419
,V_16312364_GPS_INSIGHT,V_16312364_GPS_INSIGHT,V_16312364_GPS_INSIGHT,0,43420
,V_16312365_GPS_INSIGHT,V_16312365_GPS_INSIGHT,V_16312365_GPS_INSIGHT,0,43421
,V_16312366_GPS_INSIGHT,V_16312366_GPS_INSIGHT,V_16312366_GPS_INSIGHT,0,43422
,V_16312367_GPS_INSIGHT,V_16312367_GPS_INSIGHT,V_16312367_GPS_INSIGHT,0,43423
,V_16312368_GPS_INSIGHT,V_16312368_GPS_INSIGHT,V_16312368_GPS_INSIGHT,0,43424
,V_16312376_GPS_INSIGHT,V_16312376_GPS_INSIGHT,V_16312376_GPS_INSIGHT,0,43425
,V_16312378_GPS_INSIGHT,V_16312378_GPS_INSIGHT,V_16312378_GPS_INSIGHT,0,43426
,V_16312380_GPS_INSIGHT,V_16312380_GPS_INSIGHT,V_16312380_GPS_INSIGHT,0,43427
,V_16312381_GPS_INSIGHT,V_16312381_GPS_INSIGHT,V_16312381_GPS_INSIGHT,0,43428
,V_16312382_GPS_INSIGHT,V_16312382_GPS_INSIGHT,V_16312382_GPS_INSIGHT,0,43429
,V_16312383_GPS_INSIGHT,V_16312383_GPS_INSIGHT,V_16312383_GPS_INSIGHT,0,43430
,V_16312384_GPS_INSIGHT,V_16312384_GPS_INSIGHT,V_16312384_GPS_INSIGHT,0,43431
,V_16312385_GPS_INSIGHT,V_16312385_GPS_INSIGHT,V_16312385_GPS_INSIGHT,0,43432
,V_16312386_GPS_INSIGHT,V_16312386_GPS_INSIGHT,V_16312386_GPS_INSIGHT,0,43433
,V_16312388_GPS_INSIGHT,V_16312388_GPS_INSIGHT,V_16312388_GPS_INSIGHT,0,43434
,V_16312390_GPS_INSIGHT,V_16312390_GPS_INSIGHT,V_16312390_GPS_INSIGHT,0,43435
,V_16312396_GPS_INSIGHT,V_16312396_GPS_INSIGHT,V_16312396_GPS_INSIGHT,0,43436
